time	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:03.901	0.0	-0.25	0.0	0.0	3	83	-73	-29	-87	98492	530	0.04026895388960838	-65.08871459960939	0.0	0.0	-8967.0	352.0	-99436.0	727	1182.5955810546875	-28.85871315002441	0.0	2056.0	2084.0	2580.0	174	171	188	193	1525106757781	both
1970-01-01 00:00:03.931	0.0	-0.25	0.0	0.0	3	83	-78	-30	-88	98475	530	0.04083624482154846	-65.49551391601561	0.0	0.0	-9107.0	265.0	-99470.0	731	1201.623046875	-22.70871353149414	0.0	2056.0	2080.0	2568.0	171	172	185	194	1525120788085	both
1970-01-01 00:00:03.961	0.0	-0.25	0.0	0.0	3	83	-78	-30	-88	98475	530	0.0407399982213974	-63.63283920288086	0.0	0.0	-9201.0	168.0	-99510.0	733	1216.09716796875	-16.864110946655273	0.0	2012.0	2028.0	2572.0	172	171	187	194	1525135818023	both
1970-01-01 00:00:04.061	0.0	-0.25	0.0	0.0	3	83	-74	-34	-88	98478	530	0.04129582270979881	-63.2744026184082	0.0	0.0	-9378.0	-303.0	-99687.0	743	1253.148681640625	-13.018437385559082	0.0	2056.0	2080.0	2556.0	166	175	176	201	1525184918243	both
1970-01-01 00:00:05.949	0.0	0.25	0.0	0.0	4	83	-80	-4	-82	98472	530	0.03498201444745064	-43.599308013916016	0.0	0.0	-2045.0	1842.0	-99183.0	781	-45.45237350463867	61.10319900512695	0.0	2096.0	2052.0	2580.0	176	175	181	173	1527176804016	both
1970-01-01 00:00:05.982	0.0	0.25	0.0	0.0	3	83	-74	-6	-84	98480	530	0.034781742841005325	-43.0120964050293	0.0	0.0	-2005.0	1652.0	-99182.0	780	-49.82575988769531	68.78285980224611	0.0	2092.0	2016.0	2564.0	183	178	174	171	1527193839111	both
1970-01-01 00:00:06.083	0.0	0.25	0.0	0.0	3	83	-77	-3	-85	98478	530	0.03804957494139671	-40.36187362670898	0.0	0.0	-305.0	1644.0	-98982.0	778	-48.37063217163086	102.01151275634766	0.0	1992.0	1996.0	2568.0	185	173	181	169	1527242939422	both
1970-01-01 00:00:06.148	0.0	0.25	0.0	0.0	3	83	-72	0	-86	98463	530	0.03853219375014305	-38.97777557373047	0.0	0.0	1994.0	1579.0	-98796.0	784	-67.93521881103516	120.44820404052734	0.0	1972.0	2020.0	2576.0	181	168	184	169	1527810004486	both
1970-01-01 00:00:06.178	0.0	0.25	0.0	0.0	3	83	-77	5	-81	98501	530	0.0396278090775013	-36.50446319580078	0.0	0.0	3078.0	1406.0	-98727.0	783	-93.21297454833984	133.27976989746094	0.0	2056.0	2072.0	2544.0	181	166	185	172	1527824034729	both
1970-01-01 00:00:06.213	0.0	0.25	0.0	0.0	3	83	-75	9	-89	98501	530	0.03880714252591133	-34.66796112060547	0.0	0.0	4205.0	1236.0	-98660.0	787	-128.57504272460938	134.12945556640622	0.0	1968.0	2048.0	2568.0	180	166	183	171	1527842069824	both
1970-01-01 00:00:06.243	0.0	0.25	0.0	0.0	3	83	-75	9	-85	98492	530	0.039394594728946686	-34.110618591308594	0.0	0.0	5096.0	1127.0	-98630.0	786	-160.6770477294922	132.62542724609378	0.0	2064.0	2108.0	2560.0	180	166	183	173	1527856099761	both
1970-01-01 00:00:06.278	0.0	0.25	0.0	0.0	3	83	-75	11	-83	98489	530	0.04098065569996834	-31.71752166748047	0.0	0.0	5944.0	972.0	-98553.0	785	-191.2228546142578	147.64938354492188	0.0	2012.0	2056.0	2568.0	184	165	185	172	1527873134887	both
1970-01-01 00:00:06.308	0.0	0.25	0.0	0.0	3	83	-71	13	-89	98478	530	0.04081440344452858	-31.240234375	0.0	0.0	6555.0	761.0	-98486.0	789	-240.05601501464844	159.0194549560547	0.0	2064.0	2128.0	2560.0	184	163	182	172	1527888164978	both
1970-01-01 00:00:06.339	0.0	0.25	0.0	0.0	3	83	-77	17	-85	98469	530	0.03903928026556969	-33.159225463867195	0.0	0.0	7019.0	458.0	-98440.0	791	-272.90972900390625	147.6387176513672	0.0	2056.0	2132.0	2556.0	184	163	181	172	1527903195220	both
1970-01-01 00:00:06.404	0.0	0.25	0.0	0.0	3	83	-68	16	-86	98478	530	0.04101429507136345	-29.545284271240234	0.0	0.0	7532.0	-169.0	-98368.0	793	-361.8074035644531	147.46128845214844	0.0	2012.0	2092.0	2572.0	189	164	177	171	1527935260192	both
1970-01-01 00:00:06.434	0.0	0.25	0.0	0.0	3	83	-74	12	-86	98495	530	0.04118181765079498	-30.775835037231445	0.0	0.0	7641.0	-422.0	-98328.0	792	-383.8712158203125	141.49620056152344	0.0	1972.0	2048.0	2588.0	191	164	177	171	1527949290344	both
1970-01-01 00:00:06.464	0.0	0.25	0.0	0.0	3	83	-73	17	-79	98492	530	0.0417514406144619	-27.48886299133301	0.0	0.0	7659.0	-634.0	-98281.0	793	-434.6393432617188	148.09271240234375	0.0	2004.0	2040.0	2556.0	193	164	177	170	1527964320526	both
1970-01-01 00:00:06.494	0.0	0.25	0.0	0.0	3	83	-71	19	-89	98486	530	0.040730409324169166	-26.2856559753418	0.0	0.0	7637.0	-812.0	-98208.0	792	-482.4562683105469	145.44261169433594	0.0	2056.0	2080.0	2524.0	196	161	181	166	1527979350677	both
1970-01-01 00:00:06.524	0.0	0.25	0.0	0.0	3	83	-67	17	-87	98475	530	0.043033987283706665	-25.30866622924805	0.0	0.0	7538.0	-1031.0	-98174.0	791	-519.306396484375	154.44210815429688	0.0	2096.0	2100.0	2532.0	197	164	176	169	1527993380859	both
1970-01-01 00:00:06.559	0.0	0.25	0.0	0.0	3	83	-69	17	-85	98504	530	0.0422658771276474	-22.0757999420166	0.0	0.0	7392.0	-1284.0	-98265.0	791	-582.8751220703125	143.03970336914062	0.0	2036.0	2096.0	2516.0	190	172	168	177	1528010415679	both
1970-01-01 00:00:06.589	0.0	0.25	0.0	0.0	3	83	-68	20	-86	98478	530	0.0405743233859539	-21.921640396118164	0.0	0.0	7215.0	-1397.0	-98234.0	789	-613.1612548828125	125.35053253173828	0.0	2068.0	2100.0	2544.0	197	169	172	170	1528025445831	both
1970-01-01 00:00:06.655	0.0	0.25	0.0	0.0	3	83	-65	19	-89	98472	530	0.04472535848617554	-18.72219657897949	0.0	0.0	6942.0	-1561.0	-98270.0	783	-674.5697631835938	156.6654510498047	0.0	2112.0	2036.0	2552.0	199	172	171	173	1528057511138	both
1970-01-01 00:00:06.689	0.0	0.25	0.0	0.0	3	83	-67	15	-81	98498	530	0.045443739742040634	-19.979887008666992	0.0	0.0	6835.0	-1616.0	-98283.0	780	-689.7568359375	147.879638671875	0.0	2096.0	2084.0	2536.0	199	171	175	170	1528074546081	both
1970-01-01 00:00:06.725	0.0	0.25	0.0	0.0	3	83	-67	17	-81	98501	530	0.04612520709633827	-19.53050422668457	0.0	0.0	6726.0	-1579.0	-98266.0	777	-786.0159912109375	141.48147583007812	0.0	2032.0	2128.0	2544.0	200	173	175	170	1528091581207	both
1970-01-01 00:00:06.755	0.0	0.25	0.0	0.0	3	83	-62	18	-88	98469	530	0.04610642045736313	-11.774563789367676	0.0	0.0	6673.0	-1628.0	-98279.0	771	-854.51318359375	127.17858123779295	0.0	2076.0	2124.0	2548.0	202	173	174	173	1528106611358	both
1970-01-01 00:00:06.820	0.0	0.25	0.0	0.0	3	83	-70	14	-86	98483	530	0.043408732861280434	-7.003237724304199	0.0	0.0	6467.0	-1539.0	-98430.0	764	-930.7443237304688	68.16015625	0.0	2136.0	2072.0	2548.0	197	183	168	176	1528138676574	both
1970-01-01 00:00:06.850	0.0	0.25	0.0	0.0	3	83	-70	18	-86	98511	529	0.04381164163351059	-5.415355205535889	0.0	0.0	6451.0	-1511.0	-98454.0	763	-947.8549194335938	62.69572830200195	0.0	2028.0	2028.0	2600.0	196	182	169	176	1528143686492	both
1970-01-01 00:00:06.915	0.0	0.25	0.0	0.0	3	83	-69	17	-87	98511	530	0.04264731332659722	-1.894934892654419	0.0	0.0	6326.0	-1325.0	-98639.0	757	-1049.3123779296877	14.842134475708008	0.0	2168.0	2084.0	2572.0	194	185	166	178	1528184771820	both
1970-01-01 00:00:07.012	0.0	0.25	0.0	0.0	3	83	-72	22	-86	98492	529	0.04366600140929222	2.3239939212799072	0.0	0.0	6498.0	-724.0	-98856.0	746	-1126.1856689453125	-20.12226104736328	0.0	2096.0	2136.0	2592.0	194	188	171	176	1528231867004	both
1970-01-01 00:00:07.041	0.0	0.25	0.0	0.0	3	83	-63	19	-85	98466	529	0.04238518700003624	2.2993180751800537	0.0	0.0	6556.0	-537.0	-98797.0	742	-1143.84033203125	-16.77134895324707	0.0	2048.0	2104.0	2592.0	206	178	181	166	1528246897338	both
1970-01-01 00:00:07.075	0.0	0.25	0.0	0.0	3	83	-73	25	-89	98480	530	0.04365652427077293	2.5930063724517822	0.0	0.0	6653.0	-286.0	-98794.0	739	-1157.690185546875	-18.768115997314453	0.0	2116.0	2036.0	2612.0	199	184	178	170	1528263932250	both
1970-01-01 00:00:07.106	0.0	0.25	0.0	0.0	3	83	-74	12	-84	98498	530	0.04410138726234436	3.1745924949646	0.0	0.0	6757.0	-123.0	-98815.0	737	-1172.841064453125	-19.250242233276367	0.0	2068.0	2028.0	2600.0	200	182	178	170	1528277962524	both
