	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:28.350																															both
1970-01-01 00:00:28.400																															both
1970-01-01 00:00:28.450																															both
1970-01-01 00:00:28.500																															both
1970-01-01 00:00:28.550																															both
1970-01-01 00:00:28.600																															both
1970-01-01 00:00:28.650																															both
1970-01-01 00:00:28.700																															both
1970-01-01 00:00:28.750																															both
1970-01-01 00:00:28.800																															both
1970-01-01 00:00:28.850																															both
1970-01-01 00:00:28.900																															both
1970-01-01 00:00:28.950																															both
1970-01-01 00:00:29.000																															both
1970-01-01 00:00:29.050																															both
1970-01-01 00:00:29.100																															both
1970-01-01 00:00:29.150																															both
1970-01-01 00:00:29.200																															both
1970-01-01 00:00:29.250																															both
1970-01-01 00:00:29.300																															both
1970-01-01 00:00:29.350																															both
1970-01-01 00:00:29.400																															both
1970-01-01 00:00:29.450																															both
1970-01-01 00:00:29.500																															both
1970-01-01 00:00:29.550																															both
1970-01-01 00:00:29.600																															both
1970-01-01 00:00:29.650																															both
1970-01-01 00:00:29.700																															both
1970-01-01 00:00:29.750																															both
1970-01-01 00:00:29.800																															both
1970-01-01 00:00:29.850																															both
1970-01-01 00:00:29.900																															both
1970-01-01 00:00:29.950																															both
1970-01-01 00:00:30.000																															both
1970-01-01 00:00:30.050																															both
1970-01-01 00:00:30.100																															both
1970-01-01 00:00:30.150																															both
1970-01-01 00:00:30.200																															both
1970-01-01 00:00:30.250																															both
1970-01-01 00:00:30.300																															both
1970-01-01 00:00:30.350																															both
1970-01-01 00:00:30.400																															both
1970-01-01 00:00:30.450																															both
1970-01-01 00:00:30.500																															both
1970-01-01 00:00:30.550																															both
1970-01-01 00:00:30.600																															both
1970-01-01 00:00:30.650																															both
1970-01-01 00:00:30.700																															both
1970-01-01 00:00:30.750																															both
1970-01-01 00:00:30.800																															both
1970-01-01 00:00:30.850																															both
1970-01-01 00:00:30.900																															both
1970-01-01 00:00:30.950																															both
1970-01-01 00:00:31.000																															both
1970-01-01 00:00:31.050																															both
1970-01-01 00:00:31.100																															both
1970-01-01 00:00:31.150																															both
1970-01-01 00:00:31.200																															both
1970-01-01 00:00:31.250																															both
1970-01-01 00:00:31.300																															both
1970-01-01 00:00:31.350																															both
1970-01-01 00:00:31.400																															both
1970-01-01 00:00:31.450																															both
1970-01-01 00:00:31.500																															both
1970-01-01 00:00:31.550																															both
